0021 '!'
0022 '"'
0023 '#'
0024 '$'
0025 '%'
0026 '&'
0027 "'"
0028 '('
0029 ')'
002A '*'
002B '+'
002C ','
002D '-'
002E '.'
002F '/'
0030 '0'
0031 '1'
0032 '2'
0033 '3'
0034 '4'
0035 '5'
0036 '6'
0037 '7'
0038 '8'
0039 '9'
003A ':'
003B ';'
003C '<'
003D '='
003E '>'
003F '?'
0040 '@'
0041 'A'
0042 'B'
0043 'C'
0044 'D'
0045 'E'
0046 'F'
0047 'G'
0048 'H'
0049 'I'
004A 'J'
004B 'K'
004C 'L'
004D 'M'
004E 'N'
004F 'O'
0050 'P'
0051 'Q'
0052 'R'
0053 'S'
0054 'T'
0055 'U'
0056 'V'
0057 'W'
0058 'X'
0059 'Y'
005A 'Z'
005B '['
005C '\\'
005D ']'
005E '^'
005F '_'
0060 '`'
0061 'a'
0062 'b'
0063 'c'
0064 'd'
0065 'e'
0066 'f'
0067 'g'
0068 'h'
0069 'i'
006A 'j'
006B 'k'
006C 'l'
006D 'm'
006E 'n'
006F 'o'
0070 'p'
0071 'q'
0072 'r'
0073 's'
0074 't'
0075 'u'
0076 'v'
0077 'w'
0078 'x'
0079 'y'
007A 'z'
007B '{'
007C '|'
007D '}'
007E '~'
4E48 '么'
4EA9 '亩'
5192 '冒'
52DF '募'
5362 '卢'
5364 '卤'
536F '卯'
5784 '垄'
5893 '墓'
58A8 '墨'
59C6 '姆'
5A04 '娄'
5A92 '媒'
5BDE '寞'
5E3D '帽'
5E55 '幕'
5E90 '庐'
5F55 '录'
5FD9 '忙'
6155 '慕'
622E '戮'
62B9 '抹'
62C7 '拇'
62E2 '拢'
63B3 '掳'
6402 '搂'
6469 '摩'
6479 '摹'
66AE '暮'
6728 '木'
672B '末'
679A '枚'
67D0 '某'
6885 '梅'
697C '楼'
6A21 '模'
6BCD '母'
6BCF '每'
6BDB '毛'
6C13 '氓'
6CA1 '没'
6CAB '沫'
6F0F '漏'
6F20 '漠'
6F5E '潞'
7089 '炉'
7164 '煤'
725F '牟'
7261 '牡'
732B '猫'
73AB '玫'
76EE '目'
76F2 '盲'
7709 '眉'
77DB '矛'
788C '碌'
78E8 '磨'
7984 '禄'
7BD3 '篓'
810C '脌'
8115 '脕'
8117 '脗'
8119 '脙'
811B '脛'
811C '脜'
811D '脝'
811F '脟'
8120 '脠'
8121 '脡'
8122 '脢'
8123 '脣'
8124 '脤'
8125 '脥'
8126 '脦'
8127 '脧'
8128 '脨'
8129 '脩'
812A '脪'
812B '脫'
812D '脭'
812E '脮'
8130 '脰'
8133 '脳'
8134 '脴'
8135 '脵'
8137 '脷'
8139 '脹'
813A '脺'
813B '脻'
813C '脼'
813D '脽'
813F '脿'
819C '膜'
81A7 '膧'
81A9 '膩'
81AB '膫'
81AC '膬'
81AD '膭'
81AE '膮'
81AF '膯'
81B0 '膰'
81B1 '膱'
81B2 '膲'
81B4 '膴'
81B5 '膵'
81B6 '膶'
81B7 '膷'
81B8 '膸'
81B9 '膹'
81BC '膼'
81BD '膽'
81BE '膾'
81BF '膿'
81C4 '臄'
81C5 '臅'
81C7 '臇'
81C8 '臈'
81C9 '臉'
81CB '臋'
81CD '臍'
81CE '臎'
81CF '臏'
81D0 '臐'
81D1 '臑'
81D2 '臒'
81D3 '臓'
8240 '艀'
8241 '艁'
8242 '艂'
8243 '艃'
8292 '芒'
82A6 '芦'
8302 '茂'
8305 '茅'
832B '茫'
83AB '莫'
83BD '莽'
8611 '蘑'
864F '虏'
8C0B '谋'
8C29 '谩'
8C8C '貌'
8D38 '贸'
8D42 '赂'
8DEF '路'
9176 '酶'
94C6 '铆'
951A '锚'
9541 '镁'
9646 '陆'
9647 '陇'
964B '陋'
964C '陌'
9686 '隆'
9709 '霉'
9732 '露'
9A74 '驴'
9B54 '魔'
9C81 '鲁'
9E7F '鹿'
9E93 '麓'
9ED8 '默'
